host,port,proto,name,state,info
"47.137.52.179","80","tcp","http","filtered",""
"47.139.125.20","80","tcp","http","filtered",""
"47.182.200.59","80","tcp","http","filtered",""
"48.34.68.177","80","tcp","http","filtered",""
"48.202.33.42","80","tcp","http","filtered",""
"48.208.187.253","80","tcp","http","filtered",""
"50.105.36.217","80","tcp","http","filtered",""
"50.109.87.183","80","tcp","http","filtered",""
"51.11.101.107","80","tcp","http","filtered",""
"51.115.155.129","80","tcp","http","filtered",""
"51.178.28.91","80","tcp","http","filtered",""
"51.220.69.119","80","tcp","http","filtered",""
"52.19.128.20","80","tcp","http","filtered",""
"52.88.80.90","80","tcp","http","filtered",""
"52.127.228.153","80","tcp","http","filtered",""
"53.48.164.82","80","tcp","http","filtered",""
"53.68.33.66","80","tcp","http","filtered",""
"53.179.44.151","80","tcp","http","filtered",""
"53.233.24.116","80","tcp","http","filtered",""
"54.182.67.5","80","tcp","http","filtered",""
"54.213.255.158","80","tcp","http","filtered",""
"56.72.223.103","80","tcp","http","filtered",""
"56.186.157.4","80","tcp","http","filtered",""
"57.19.199.159","80","tcp","http","filtered",""
"57.27.205.179","80","tcp","http","filtered",""
"57.108.118.139","80","tcp","http","filtered",""
"57.198.45.175","80","tcp","http","filtered",""
"57.205.172.168","80","tcp","http","filtered",""
"58.63.22.47","80","tcp","http","filtered",""
"58.120.255.180","80","tcp","http","filtered",""
"59.36.117.48","80","tcp","http","filtered",""
"59.98.35.237","80","tcp","http","filtered",""
"59.110.86.214","80","tcp","http","filtered",""
"59.133.239.143","80","tcp","http","filtered",""
"59.146.128.0","80","tcp","http","filtered",""
"59.224.126.24","80","tcp","http","filtered",""
"60.91.151.134","80","tcp","http","filtered",""
"60.114.237.77","80","tcp","http","filtered",""
"60.198.114.143","80","tcp","http","filtered",""
"61.56.98.184","80","tcp","http","filtered",""
"61.118.115.101","80","tcp","http","filtered",""
"61.192.30.240","80","tcp","http","filtered",""
"62.44.141.216","80","tcp","http","filtered",""
"62.220.157.142","80","tcp","http","filtered",""
"64.14.241.47","80","tcp","http","filtered",""
"64.109.149.200","80","tcp","http","filtered",""
"65.22.74.14","80","tcp","http","filtered",""
"66.13.129.194","80","tcp","http","filtered",""
"67.16.241.47","80","tcp","http","filtered",""
"68.2.172.231","80","tcp","http","filtered",""
"68.94.9.81","80","tcp","http","filtered",""
"68.113.107.193","80","tcp","http","filtered",""
"68.200.50.211","80","tcp","http","filtered",""
"69.42.132.109","80","tcp","http","filtered",""
"69.74.181.90","80","tcp","http","filtered",""
"69.112.129.149","80","tcp","http","filtered",""
"69.113.162.11","80","tcp","http","filtered",""
"69.121.174.110","80","tcp","http","filtered",""
"69.171.27.193","80","tcp","http","filtered",""
"69.242.89.174","80","tcp","http","filtered",""
"70.135.106.169","80","tcp","http","filtered",""
"71.44.230.6","80","tcp","http","filtered",""
"71.125.83.177","80","tcp","http","filtered",""
"72.1.11.175","80","tcp","http","filtered",""
"72.169.127.147","80","tcp","http","filtered",""
"73.73.64.158","80","tcp","http","filtered",""
"73.176.32.7","80","tcp","http","filtered",""
"74.36.0.213","80","tcp","http","filtered",""
"74.218.250.146","80","tcp","http","filtered",""
"75.31.249.192","80","tcp","http","filtered",""
"75.41.235.189","80","tcp","http","filtered",""
"75.96.138.15","80","tcp","http","filtered",""
"75.154.81.89","80","tcp","http","filtered",""
"75.154.99.42","80","tcp","http","filtered",""
"75.194.191.117","80","tcp","http","filtered",""
"75.199.28.54","80","tcp","http","filtered",""
"75.254.228.55","80","tcp","http","filtered",""
"76.150.98.213","80","tcp","http","filtered",""
"77.128.15.125","80","tcp","http","filtered",""
"79.25.61.44","80","tcp","http","filtered",""
"79.189.137.40","80","tcp","http","filtered",""
"81.4.13.47","80","tcp","http","filtered",""
"81.10.54.140","80","tcp","http","filtered",""
"81.141.180.175","80","tcp","http","filtered",""
"81.230.229.183","80","tcp","http","filtered",""
"82.26.229.102","80","tcp","http","filtered",""
"82.45.121.254","80","tcp","http","filtered",""
"82.90.204.117","80","tcp","http","filtered",""
"83.133.212.73","80","tcp","http","filtered",""
"84.29.76.138","80","tcp","http","filtered",""
"84.78.218.160","80","tcp","http","filtered",""
"85.12.182.215","80","tcp","http","filtered",""
"85.14.222.73","80","tcp","http","filtered",""
"85.49.37.195","80","tcp","http","filtered",""
"86.102.169.128","80","tcp","http","filtered",""
"87.78.128.82","80","tcp","http","filtered",""
"88.203.4.104","80","tcp","http","filtered",""
"88.227.80.156","80","tcp","http","filtered",""
"89.233.210.24","80","tcp","http","filtered",""
"90.68.79.161","80","tcp","http","filtered",""
"91.153.134.81","80","tcp","http","filtered",""
"91.168.138.87","80","tcp","http","filtered",""
"92.105.86.242","80","tcp","http","filtered",""
"94.123.153.171","80","tcp","http","filtered",""
"94.172.120.64","80","tcp","http","filtered",""
"94.213.142.92","80","tcp","http","filtered",""
"94.214.228.170","80","tcp","http","filtered",""
"94.236.213.5","80","tcp","http","filtered",""
"95.203.153.56","80","tcp","http","filtered",""
"96.34.101.208","80","tcp","http","filtered",""
"97.97.48.75","80","tcp","http","filtered",""
"97.188.91.76","80","tcp","http","filtered",""
"97.237.165.209","80","tcp","http","filtered",""
"98.14.251.21","80","tcp","http","filtered",""
"98.234.219.104","80","tcp","http","filtered",""
"99.5.121.215","80","tcp","http","filtered",""
"99.66.48.183","80","tcp","http","filtered",""
"99.121.246.214","80","tcp","http","filtered",""
"99.151.1.58","80","tcp","http","filtered",""
"99.201.239.223","80","tcp","http","filtered",""
"99.255.153.129","80","tcp","http","filtered",""
"100.67.22.214","80","tcp","http","filtered",""
"101.13.52.251","80","tcp","http","filtered",""
"101.32.248.108","80","tcp","http","filtered",""
"104.128.120.93","80","tcp","http","filtered",""
"104.176.100.206","80","tcp","http","filtered",""
"104.186.222.215","80","tcp","http","filtered",""
"104.245.164.10","80","tcp","http","filtered",""
"105.73.108.108","80","tcp","http","filtered",""
"105.154.232.87","80","tcp","http","filtered",""
"106.100.54.91","80","tcp","http","filtered",""
"107.117.139.43","80","tcp","http","filtered",""
"108.18.17.206","80","tcp","http","filtered",""
"109.0.148.170","80","tcp","http","filtered",""
"109.22.39.179","80","tcp","http","filtered",""
"109.63.16.219","80","tcp","http","filtered",""
"109.74.167.6","80","tcp","http","filtered",""
"110.138.83.98","80","tcp","http","filtered",""
"111.55.117.55","80","tcp","http","filtered",""
"112.81.130.200","80","tcp","http","filtered",""
"112.107.206.221","80","tcp","http","filtered",""
"112.116.51.181","80","tcp","http","filtered",""
"112.142.75.204","80","tcp","http","filtered",""
"112.191.154.74","80","tcp","http","filtered",""
"112.217.79.196","80","tcp","http","filtered",""
"112.239.203.247","80","tcp","http","filtered",""
"113.169.7.169","80","tcp","http","filtered",""
"114.71.191.144","80","tcp","http","filtered",""
"114.212.25.20","80","tcp","http","filtered",""
"115.229.167.83","80","tcp","http","filtered",""
"115.249.145.78","80","tcp","http","filtered",""
"116.32.120.83","80","tcp","http","filtered",""
"116.213.189.160","80","tcp","http","filtered",""
"117.254.237.6","80","tcp","http","filtered",""
"118.112.96.252","80","tcp","http","filtered",""
"118.139.240.238","80","tcp","http","filtered",""
"118.165.163.57","80","tcp","http","filtered",""
"118.206.100.243","80","tcp","http","filtered",""
"119.205.93.113","80","tcp","http","filtered",""
"119.247.113.116","80","tcp","http","filtered",""
"120.117.235.172","80","tcp","http","filtered",""
"120.157.126.134","80","tcp","http","filtered",""
"120.181.41.236","80","tcp","http","filtered",""
"120.185.70.28","80","tcp","http","filtered",""
"120.187.212.153","80","tcp","http","filtered",""
"120.216.143.124","80","tcp","http","filtered",""
"121.11.159.194","80","tcp","http","filtered",""
"121.23.213.2","80","tcp","http","filtered",""
"121.90.93.152","80","tcp","http","filtered",""
"121.96.113.125","80","tcp","http","filtered",""
"122.90.203.247","80","tcp","http","filtered",""
"123.137.224.197","80","tcp","http","filtered",""
"124.11.150.99","80","tcp","http","filtered",""
"124.74.162.197","80","tcp","http","filtered",""
"124.120.26.32","80","tcp","http","filtered",""
"124.215.88.89","80","tcp","http","filtered",""
"124.248.245.192","80","tcp","http","filtered",""
"125.157.55.147","80","tcp","http","filtered",""
"125.157.170.128","80","tcp","http","filtered",""
"125.249.7.17","80","tcp","http","filtered",""
"126.1.177.4","80","tcp","http","filtered",""
"126.10.135.237","80","tcp","http","filtered",""
"126.114.202.108","80","tcp","http","filtered",""
"128.14.239.100","80","tcp","http","filtered",""
"128.47.19.126","80","tcp","http","filtered",""
"128.211.237.36","80","tcp","http","filtered",""
"129.102.24.53","80","tcp","http","filtered",""
"129.111.164.40","80","tcp","http","filtered",""
"129.130.123.87","80","tcp","http","filtered",""
"129.149.40.112","80","tcp","http","filtered",""
"130.110.189.24","80","tcp","http","filtered",""
"130.138.224.68","80","tcp","http","filtered",""
"130.239.207.200","80","tcp","http","filtered",""
"130.241.243.34","80","tcp","http","filtered",""
"132.32.50.166","80","tcp","http","filtered",""
"132.210.179.126","80","tcp","http","filtered",""
"133.144.175.238","80","tcp","http","filtered",""
"133.164.106.47","80","tcp","http","filtered",""
"134.138.151.226","80","tcp","http","filtered",""
"135.96.52.21","80","tcp","http","filtered",""
"136.247.2.119","80","tcp","http","filtered",""
"137.50.182.43","80","tcp","http","filtered",""
"137.180.229.111","80","tcp","http","filtered",""
"138.28.2.217","80","tcp","http","filtered",""
"139.56.116.49","80","tcp","http","filtered",""
"139.78.75.119","80","tcp","http","filtered",""
"139.90.88.229","80","tcp","http","filtered",""
"139.149.157.21","80","tcp","http","filtered",""
"140.95.229.168","80","tcp","http","filtered",""
"140.101.229.7","80","tcp","http","filtered",""
"140.163.0.116","80","tcp","http","filtered",""
"140.193.244.198","80","tcp","http","filtered",""
"141.11.144.120","80","tcp","http","filtered",""
"141.242.3.204","80","tcp","http","filtered",""
"142.26.36.104","80","tcp","http","filtered",""
"143.180.32.251","80","tcp","http","filtered",""
"143.228.5.77","80","tcp","http","filtered",""
"145.27.110.40","80","tcp","http","filtered",""
"145.201.27.92","80","tcp","http","filtered",""
"145.213.147.181","80","tcp","http","filtered",""
"145.233.22.126","80","tcp","http","filtered",""
"146.22.144.223","80","tcp","http","filtered",""
"146.90.60.78","80","tcp","http","filtered",""
"146.158.83.88","80","tcp","http","filtered",""
"147.138.5.243","80","tcp","http","filtered",""
"147.178.119.123","80","tcp","http","filtered",""
"148.0.236.104","80","tcp","http","filtered",""
"148.17.213.21","80","tcp","http","filtered",""
"148.124.109.8","80","tcp","http","filtered",""
"148.142.157.226","80","tcp","http","filtered",""
"148.176.200.103","80","tcp","http","filtered",""
"149.15.207.201","80","tcp","http","filtered",""
"149.215.197.98","80","tcp","http","filtered",""
"150.233.168.37","80","tcp","http","filtered",""
"150.248.130.120","80","tcp","http","filtered",""
"151.162.150.132","80","tcp","http","filtered",""
"151.239.160.2","80","tcp","http","filtered",""
"153.4.98.67","80","tcp","http","filtered",""
"153.169.237.137","80","tcp","http","filtered",""
"154.149.241.240","80","tcp","http","filtered",""
"154.166.180.49","80","tcp","http","filtered",""
"155.29.95.127","80","tcp","http","filtered",""
"156.220.199.158","80","tcp","http","filtered",""
"157.18.211.95","80","tcp","http","filtered",""
"158.81.53.109","80","tcp","http","filtered",""
"158.83.213.86","80","tcp","http","filtered",""
"158.193.155.22","80","tcp","http","filtered",""
"158.238.228.198","80","tcp","http","filtered",""
"159.82.235.252","80","tcp","http","filtered",""
"160.151.219.166","80","tcp","http","filtered",""
"161.54.32.123","80","tcp","http","filtered",""
"161.103.226.253","80","tcp","http","filtered",""
"162.200.124.143","80","tcp","http","filtered",""
"163.2.253.201","80","tcp","http","filtered",""
"163.47.108.251","80","tcp","http","filtered",""
"163.51.13.71","80","tcp","http","filtered",""
"163.70.22.30","80","tcp","http","filtered",""
"163.227.80.112","80","tcp","http","filtered",""
"164.148.10.227","80","tcp","http","filtered",""
"164.168.14.19","80","tcp","http","filtered",""
"166.52.182.148","80","tcp","http","filtered",""
"167.220.79.247","80","tcp","http","filtered",""
"167.225.139.77","80","tcp","http","filtered",""
"167.241.230.248","80","tcp","http","filtered",""
"168.47.227.244","80","tcp","http","filtered",""
"168.157.111.166","80","tcp","http","filtered",""
"168.231.54.218","80","tcp","http","filtered",""
"168.231.240.165","80","tcp","http","filtered",""
"169.1.33.199","80","tcp","http","filtered",""
"169.148.30.73","80","tcp","http","filtered",""
"169.174.228.183","80","tcp","http","filtered",""
"169.233.126.192","80","tcp","http","filtered",""
"169.244.218.187","80","tcp","http","filtered",""
"170.242.191.141","80","tcp","http","filtered",""
"171.33.40.100","80","tcp","http","filtered",""
"171.127.185.71","80","tcp","http","filtered",""
"171.253.70.167","80","tcp","http","filtered",""
"172.196.207.172","80","tcp","http","filtered",""
"173.200.220.86","80","tcp","http","filtered",""
"173.201.36.152","80","tcp","http","filtered",""
"173.205.201.127","80","tcp","http","filtered",""
"173.216.2.200","80","tcp","http","filtered",""
"173.220.252.156","80","tcp","http","filtered",""
"174.39.75.82","80","tcp","http","filtered",""
"174.204.192.120","80","tcp","http","filtered",""
"174.218.98.92","80","tcp","http","filtered",""
"174.252.45.230","80","tcp","http","filtered",""
"175.170.88.195","80","tcp","http","filtered",""
"176.56.237.237","80","tcp","http","filtered",""
"176.76.51.125","80","tcp","http","filtered",""
"177.86.170.186","80","tcp","http","filtered",""
"177.94.156.75","80","tcp","http","filtered",""
"178.111.209.120","80","tcp","http","filtered",""
"178.113.132.79","80","tcp","http","filtered",""
"179.71.7.122","80","tcp","http","filtered",""
"179.246.113.47","80","tcp","http","filtered",""
"180.7.76.240","80","tcp","http","filtered",""
"180.222.122.235","80","tcp","http","filtered",""
"182.8.66.0","80","tcp","http","filtered",""
"182.96.192.130","80","tcp","http","filtered",""
"182.237.120.106","80","tcp","http","filtered",""
"183.28.173.65","80","tcp","http","filtered",""
"183.46.212.217","80","tcp","http","filtered",""
"183.139.11.244","80","tcp","http","filtered",""
"183.235.132.209","80","tcp","http","filtered",""
"184.26.25.64","80","tcp","http","filtered",""
"184.43.132.180","80","tcp","http","filtered",""
"184.94.69.212","80","tcp","http","filtered",""
"185.130.123.32","80","tcp","http","filtered",""
"186.25.186.50","80","tcp","http","filtered",""
"186.41.49.194","80","tcp","http","filtered",""
"187.147.198.30","80","tcp","http","filtered",""
"187.188.134.166","80","tcp","http","filtered",""
"188.30.58.71","80","tcp","http","filtered",""
"188.81.192.180","80","tcp","http","filtered",""
"188.122.52.76","80","tcp","http","filtered",""
"188.160.81.49","80","tcp","http","filtered",""
"189.115.62.115","80","tcp","http","filtered",""
"189.120.56.106","80","tcp","http","filtered",""
"190.89.218.194","80","tcp","http","filtered",""
"190.114.238.155","80","tcp","http","filtered",""
"190.153.103.93","80","tcp","http","filtered",""
"190.170.138.69","80","tcp","http","filtered",""
"190.173.58.37","80","tcp","http","filtered",""
"190.219.62.241","80","tcp","http","filtered",""
"191.26.19.93","80","tcp","http","filtered",""
"191.91.107.42","80","tcp","http","filtered",""
"191.192.219.103","80","tcp","http","filtered",""
"191.248.199.126","80","tcp","http","filtered",""
"192.168.2.76","80","tcp","http","open",""
"192.205.35.87","80","tcp","http","filtered",""
"193.236.41.45","80","tcp","http","filtered",""
"194.174.212.166","80","tcp","http","filtered",""
"194.182.22.238","80","tcp","http","filtered",""
"194.242.209.202","80","tcp","http","filtered",""
"194.249.188.188","80","tcp","http","filtered",""
"196.37.137.64","80","tcp","http","filtered",""
"196.204.106.226","80","tcp","http","filtered",""
"196.227.84.56","80","tcp","http","filtered",""
"197.91.26.138","80","tcp","http","filtered",""
"197.174.91.187","80","tcp","http","filtered",""
"198.37.100.5","80","tcp","http","filtered",""
"198.48.13.82","80","tcp","http","filtered",""
"198.182.163.253","80","tcp","http","filtered",""
"199.67.107.80","80","tcp","http","filtered",""
"200.66.159.77","80","tcp","http","filtered",""
"200.201.233.78","80","tcp","http","filtered",""
"200.203.153.139","80","tcp","http","filtered",""
"200.221.205.90","80","tcp","http","filtered",""
"201.86.72.71","80","tcp","http","filtered",""
"201.141.4.16","80","tcp","http","filtered",""
"201.167.188.179","80","tcp","http","filtered",""
"201.210.175.110","80","tcp","http","filtered",""
"201.238.81.143","80","tcp","http","filtered",""
"203.75.228.13","80","tcp","http","filtered",""
"203.161.91.92","80","tcp","http","filtered",""
"204.55.45.140","80","tcp","http","filtered",""
"204.126.91.146","80","tcp","http","filtered",""
"205.0.80.105","80","tcp","http","filtered",""
"205.139.63.76","80","tcp","http","filtered",""
"205.250.247.160","80","tcp","http","filtered",""
"207.45.226.91","80","tcp","http","filtered",""
"207.63.137.140","80","tcp","http","filtered",""
"207.126.241.13","80","tcp","http","filtered",""
"207.127.172.246","80","tcp","http","filtered",""
"208.42.180.87","80","tcp","http","filtered",""
"208.101.207.80","80","tcp","http","filtered",""
"208.250.46.170","80","tcp","http","filtered",""
"210.150.202.58","80","tcp","http","filtered",""
"210.158.203.194","80","tcp","http","filtered",""
"210.167.145.58","80","tcp","http","filtered",""
"211.17.208.50","80","tcp","http","filtered",""
"212.169.64.196","80","tcp","http","filtered",""
"212.232.22.157","80","tcp","http","filtered",""
"213.118.97.87","80","tcp","http","filtered",""
"214.28.64.192","80","tcp","http","filtered",""
"214.90.79.184","80","tcp","http","filtered",""
"214.176.113.52","80","tcp","http","filtered",""
"214.209.232.245","80","tcp","http","filtered",""
"216.2.143.207","80","tcp","http","filtered",""
"217.117.158.176","80","tcp","http","filtered",""
"217.248.158.229","80","tcp","http","filtered",""
"218.3.73.192","80","tcp","http","filtered",""
"218.255.204.187","80","tcp","http","filtered",""
"219.112.123.251","80","tcp","http","filtered",""
"219.195.121.97","80","tcp","http","filtered",""
"219.251.210.65","80","tcp","http","filtered",""
"220.98.60.87","80","tcp","http","filtered",""
"220.157.205.145","80","tcp","http","filtered",""
"222.11.204.75","80","tcp","http","filtered",""
"222.163.193.110","80","tcp","http","filtered",""
"223.9.195.165","80","tcp","http","filtered",""
"223.50.37.152","80","tcp","http","filtered",""
"223.58.222.214","80","tcp","http","filtered",""
"223.74.205.2","80","tcp","http","filtered",""
"223.83.107.35","80","tcp","http","filtered",""
"223.97.191.202","80","tcp","http","filtered",""
"223.99.229.46","80","tcp","http","filtered",""
"223.183.168.170","80","tcp","http","filtered",""
"223.213.160.8","80","tcp","http","filtered",""
"223.223.245.168","80","tcp","http","filtered",""
"223.228.30.62","80","tcp","http","filtered",""
"192.168.2.15","88","tcp","kerberos-sec","open",""
"192.168.2.76","88","tcp","kerberos-sec","open",""
"192.168.2.1","110","tcp","tcpwrapped","open",""
"192.168.2.15","110","tcp","tcpwrapped","open",""
"192.168.2.17","110","tcp","tcpwrapped","open",""
"192.168.2.76","110","tcp","tcpwrapped","open",""
"192.168.2.141","110","tcp","tcpwrapped","open",""
"192.168.2.1","143","tcp","tcpwrapped","open",""
"192.168.2.15","143","tcp","tcpwrapped","open",""
"192.168.2.17","143","tcp","tcpwrapped","open",""
"192.168.2.76","143","tcp","tcpwrapped","open",""
"192.168.2.141","143","tcp","tcpwrapped","open",""
"192.168.2.76","311","tcp","asip-webadmin","open",""
"192.168.2.76","443","tcp","https","open",""
"192.168.2.1","445","tcp","microsoft-ds","open",""
"192.168.2.15","445","tcp","microsoft-ds","open",""
"192.168.2.76","464","tcp","kpasswd5","open",""
"192.168.2.15","548","tcp","afp","open",""
"192.168.2.76","625","tcp","apple-xsrvr-admin","open",""
"192.168.2.76","749","tcp","kerberos-adm","open",""
"192.168.2.76","888","tcp","accessbuilder","filtered",""
"192.168.2.1","993","tcp","tcpwrapped","open",""
"192.168.2.15","993","tcp","tcpwrapped","open",""
"192.168.2.17","993","tcp","tcpwrapped","open",""
"192.168.2.76","993","tcp","tcpwrapped","open",""
"192.168.2.141","993","tcp","tcpwrapped","open",""
"192.168.2.1","995","tcp","tcpwrapped","open",""
"192.168.2.15","995","tcp","tcpwrapped","open",""
"192.168.2.17","995","tcp","tcpwrapped","open",""
"192.168.2.76","995","tcp","tcpwrapped","open",""
"192.168.2.141","995","tcp","tcpwrapped","open",""
"192.168.2.15","1028","tcp","unknown","filtered",""
"192.168.2.17","1028","tcp","unknown","filtered",""
"192.168.2.76","1110","tcp","nfsd-status","filtered",""
"192.168.2.17","1145","tcp","x9-icue","filtered",""
"192.168.2.76","1165","tcp","qsm-gui","filtered",""
"192.168.2.15","1600","tcp","issd","filtered",""
"192.168.2.17","2034","tcp","scoremgr","filtered",""
"192.168.2.76","2042","tcp","isis","filtered",""
"192.168.2.76","2065","tcp","dlsrpn","filtered",""
"192.168.2.17","2393","tcp","ms-olap1","filtered",""
"192.168.2.76","2875","tcp","dxmessagebase2","filtered",""
"192.168.2.76","2920","tcp","roboeda","filtered",""
"192.168.2.76","3031","tcp","eppc","open",""
"192.168.2.17","3367","tcp","satvid-datalnk","filtered",""
"192.168.2.76","3370","tcp","satvid-datalnk","filtered",""
"192.168.2.1","3689","tcp","rendezvous","open",""
"192.168.2.15","3689","tcp","rendezvous","open",""
"192.168.2.76","3689","tcp","rendezvous","open",""
"192.168.2.17","3869","tcp","ovsam-mgmt","filtered",""
"192.168.2.17","3905","tcp","mupdate","filtered",""
"192.168.2.76","4224","tcp","xtell","filtered",""
"192.168.2.76","4343","tcp","unicall","filtered",""
"192.168.2.76","5050","tcp","mmcc","open",""
"192.168.2.76","5222","tcp","xmpp-client","open",""
"192.168.2.15","5269","tcp","xmpp-server","filtered",""
"192.168.2.17","5269","tcp","xmpp-server","filtered",""
"192.168.2.76","5269","tcp","xmpp-server","open",""
"192.168.2.76","5432","tcp","postgresql","open",""
"192.168.2.17","5730","tcp","unieng","filtered",""
"192.168.2.17","5877","tcp","unknown","filtered",""
"192.168.2.15","7920","tcp","unknown","filtered",""
"192.168.2.17","7921","tcp","unknown","filtered",""
"192.168.2.17","7937","tcp","nsrexecd","filtered",""
"192.168.2.76","8022","tcp","oa-system","filtered",""
"192.168.2.76","9091","tcp","xmltec-xmlmail","open",""
"192.168.2.17","9898","tcp","monkeycom","filtered",""
"192.168.2.17","9900","tcp","iua","filtered",""
"192.168.2.17","9968","tcp","unknown","filtered",""
"192.168.2.76","16993","tcp","amt-soap-https","filtered",""
"192.168.2.17","32783","tcp","unknown","filtered",""
"192.168.2.17","32784","tcp","unknown","filtered",""
"192.168.2.17","32785","tcp","unknown","filtered",""
"192.168.2.76","48080","tcp","unknown","filtered",""
"192.168.2.76","49167","tcp","unknown","filtered",""
"192.168.2.17","55555","tcp","unknown","filtered",""
"192.168.2.76","58080","tcp","unknown","filtered",""
"192.168.2.141","62078","tcp","iphone-sync","open",""
"192.168.2.17","65129","tcp","unknown","filtered",""
