host,port,proto,name,state,info
"10.0.0.111","143","tcp","tcpwrapped","open",""
"10.0.0.112","143","tcp","tcpwrapped","open",""
"10.0.0.141","143","tcp","tcpwrapped","open",""
"10.0.0.142","143","tcp","imap","open",""
"10.0.0.143","143","tcp","imap","open",""
"10.0.0.145","143","tcp","imap","open",""
"10.0.0.146","143","tcp","tcpwrapped","open",""
"10.0.0.147","143","tcp","tcpwrapped","open",""
"10.0.0.148","143","tcp","imap","open",""
"10.0.0.150","143","tcp","tcpwrapped","open",""
"10.0.0.152","143","tcp","imap","open",""
"10.0.0.161","143","tcp","tcpwrapped","open",""
"10.0.0.162","143","tcp","tcpwrapped","open",""
"10.0.0.163","143","tcp","tcpwrapped","open",""
"10.0.0.166","143","tcp","imap","open",""
"10.0.0.169","143","tcp","tcpwrapped","open",""
"10.0.0.170","143","tcp","tcpwrapped","open",""
"10.0.0.171","143","tcp","tcpwrapped","open",""
"10.0.0.173","143","tcp","tcpwrapped","open",""
"10.0.0.177","143","tcp","tcpwrapped","open",""
"10.0.0.179","143","tcp","tcpwrapped","open",""
"10.0.0.181","143","tcp","tcpwrapped","open",""
"10.0.0.183","143","tcp","tcpwrapped","open",""
"10.0.0.185","143","tcp","imap","open",""
"10.0.0.188","143","tcp","tcpwrapped","open",""
"10.0.0.191","143","tcp","tcpwrapped","open",""
"10.0.0.199","143","tcp","tcpwrapped","open",""
"10.0.0.203","143","tcp","tcpwrapped","open",""
"10.0.0.205","143","tcp","tcpwrapped","open",""
"10.0.0.206","143","tcp","tcpwrapped","open",""
"10.0.0.212","143","tcp","tcpwrapped","open",""
"10.0.0.214","143","tcp","tcpwrapped","open",""
"10.0.0.215","143","tcp","imap","open",""
"10.0.0.216","143","tcp","tcpwrapped","open",""
"10.0.0.217","143","tcp","tcpwrapped","open",""
"10.0.0.218","143","tcp","imap","open",""
"10.0.0.229","143","tcp","tcpwrapped","open",""
"10.0.0.230","143","tcp","imap","open","FirstClass imapd 11.165"
"10.0.0.231","143","tcp","imap","open",""
"10.0.0.232","143","tcp","tcpwrapped","open",""
"10.0.0.233","143","tcp","tcpwrapped","open",""
"10.0.0.237","143","tcp","tcpwrapped","open",""
"10.0.0.239","143","tcp","tcpwrapped","open",""
"10.0.0.242","143","tcp","tcpwrapped","open",""
"10.0.0.246","143","tcp","tcpwrapped","open",""
"10.0.0.247","143","tcp","tcpwrapped","open",""
"10.0.0.248","143","tcp","tcpwrapped","open",""
"10.0.0.249","143","tcp","tcpwrapped","open",""
"10.0.0.250","143","tcp","tcpwrapped","open",""
"10.0.0.52","161","tcp","snmp","filtered",""
"10.0.0.170","161","udp","snmp","open",""
"10.0.0.169","311","tcp","asip-webadmin","open",""
"10.0.0.206","311","tcp","asip-webadmin","open",""
"10.0.0.232","311","tcp","asip-webadmin","open",""
"10.0.0.233","311","tcp","http","open","Apple Server Monitor http interface"
"10.0.0.239","311","tcp","asip-webadmin","open",""
"10.0.0.166","389","tcp","ldap","open",""
"10.0.0.191","389","tcp","ldap","open",""
"10.0.0.215","389","tcp","ldap","closed",""
"10.0.0.216","389","tcp","ldap","open","OpenLDAP 2.2.X - 2.3.X"
"10.0.0.230","389","tcp","ldap","open","Anonymous bind OK"
"10.0.0.232","389","tcp","ldap","open","OpenLDAP 2.2.X - 2.3.X"
"10.0.0.237","389","tcp","ldap","open","Anonymous bind OK"
"10.0.0.142","427","tcp","svrloc","open",""
"10.0.0.143","427","tcp","svrloc","open",""
"10.0.0.145","427","tcp","svrloc","open",""
"10.0.0.148","427","tcp","svrloc","open",""
"10.0.0.111","443","tcp","http","open","nginx 1.6.2"
"10.0.0.141","443","tcp","http","open","Mbedthis-Appweb 2.4.2"
"10.0.0.142","443","tcp","https","open","VMware ESXi 5.5.0 build-2068190"
"10.0.0.143","443","tcp","https","open","VMware ESXi 5.5.0 build-2068190"
"10.0.0.145","443","tcp","https","open","VMware ESXi 5.5.0 build-2068190"
"10.0.0.146","443","tcp","http","open","Mbedthis-Appweb 2.4.2"
"10.0.0.147","443","tcp","https","open",""
"10.0.0.148","443","tcp","https","open","VMware ESXi 5.5.0 build-2068190"
"10.0.0.150","443","tcp","https","open","VMware vCenter Server 5.5.0 build-1750787"
"10.0.0.163","443","tcp","http","open","Apache httpd"
"10.0.0.166","443","tcp","http","open","Microsoft IIS httpd 8.0"
"10.0.0.177","443","tcp","http","open","Apache httpd 2.4.10 (Unix) OpenSSL/1.0.1i PHP/5.5.15 mod_perl/2.0.8-dev Perl/v5.16.3"
"10.0.0.183","443","tcp","https","open",""
"10.0.0.185","443","tcp","https","open",""
"10.0.0.188","443","tcp","http","open","nginx 1.2.2"
"10.0.0.203","443","tcp","http","open","Apache httpd 2.2.14 (Ubuntu)"
"10.0.0.206","443","tcp","http","open","Thin 1.3.1 codename Triple Espresso"
"10.0.0.214","443","tcp","http","open","Apache httpd 2.4.7 (Ubuntu)"
"10.0.0.215","443","tcp","tcpwrapped","open",""
"10.0.0.217","443","tcp","http","open","Apache httpd 2.2.22 (Ubuntu)"
"10.0.0.218","443","tcp","http","open","Apache httpd"
"10.0.0.229","443","tcp","http","open","nginx"
"10.0.0.230","443","tcp","https","open",""
"10.0.0.231","443","tcp","https","open",""
"10.0.0.242","443","tcp","http","open","Apache httpd 2.2.26 (Unix) DAV/2 mod_ssl/2.2.26 OpenSSL/0.9.8za"
"10.0.0.246","443","tcp","http","open","InterMapper Network Monitor httpd 5.8"
"10.0.0.248","443","tcp","http","open","Apache httpd"
"10.0.0.249","443","tcp","http","open","Apache httpd 2.2.26 (Unix) PHP/5.4.30 mod_wsgi/3.3 Python/2.7.5 mod_ssl/2.2.26 OpenSSL/0.9.8za DAV/2"
"10.0.0.111","445","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: SATURN"
"10.0.0.163","445","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: NAS"
"10.0.0.166","445","tcp","smb","open","Windows 2012 (Unknown)"
"10.0.0.169","445","tcp","microsoft-ds","open",""
"10.0.0.170","445","tcp","smb","open","Windows 2003 Service Pack 2 (Unknown)"
"10.0.0.171","445","tcp","smb","open","Windows 2003 Service Pack 2 (Unknown)"
"10.0.0.173","445","tcp","smb","open","Windows XP Service Pack 3 (English)"
"10.0.0.181","445","tcp","smb","open","Windows 2003 R2 Service Pack 2 (English)"
"10.0.0.183","445","tcp","smb","open","Windows XP Service Pack 2+ (Unknown)"
"10.0.0.188","445","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: WORKGROUP"
"10.0.0.191","445","tcp","smb","open","Windows 2003 Service Pack 2 (Unknown)"
"10.0.0.203","445","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: WORKGROUP"
"10.0.0.206","445","tcp","microsoft-ds","open",""
"10.0.0.218","445","tcp","smb","open","Windows 2008 R2 Service Pack 1 (Unknown)"
"10.0.0.230","445","tcp","smb","open","Windows 2008 Service Pack 2 (Unknown)"
"10.0.0.237","445","tcp","smb","open","Windows 2003 R2 Service Pack 2 (Unknown)"
"10.0.0.239","445","tcp","microsoft-ds","open",""
"10.0.0.242","445","tcp","microsoft-ds","open",""
"10.0.0.247","445","tcp","smb","open","Windows 2003 Service Pack 2 (Unknown)"
"10.0.0.249","445","tcp","microsoft-ds","open",""
"10.0.0.250","445","tcp","smb","open","Windows 2008 R2 Service Pack 1 (Unknown)"
"10.0.0.166","464","tcp","kpasswd5","open",""
"10.0.0.191","464","tcp","kpasswd5","open",""
"10.0.0.216","464","tcp","kpasswd5","open",""
"10.0.0.232","464","tcp","kpasswd5","open",""
"10.0.0.170","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.171","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.191","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.199","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.203","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.205","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.217","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.237","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.246","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.250","497","tcp","retrospect","open","Dantz Retrospect backup client"
"10.0.0.150","514","tcp","shell","open",""
"10.0.0.181","515","tcp","printer","open","Microsoft lpd"
"10.0.0.111","548","tcp","afp","open","AFP name: saturn, Versions: AFP2.2, AFPX03, AFP3.1, AFP3.2, AFP3.3, AFP3.4"
"10.0.0.163","548","tcp","afp","open","AFP name: ArtsMedia1, Versions: AFP2.2, AFPX03, AFP3.1, AFP3.2, AFP3.3"
"10.0.0.169","548","tcp","afp","open","AFP name: OldPro, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.170","548","tcp","afp","open","AFP name: N/A, Versions: AFPVersion 2.0, AFPVersion 2.1, AFP2.2"
"10.0.0.183","548","tcp","afp","open","AFP name: Mars, Versions: AFP2.2, AFP3.1"
"10.0.0.185","548","tcp","afp","open","AFP name: venus, Versions: AFP3.2, AFP3.1, AFP2.2"
"10.0.0.199","548","tcp","afp","open","AFP name: Hemera, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.203","548","tcp","afp","open","AFP name: mango, Versions: AFPVersion 1.1, AFPVersion 2.0, AFPVersion 2.1, AFP2.2, AFPX03, AFP3.1"
"10.0.0.206","548","tcp","afp","open","AFP name: Thalia, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.212","548","tcp","afp","open","AFP name: Media1, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.233","548","tcp","afp","open","AFP name: atlas, Versions: AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.239","548","tcp","afp","open","AFP name: lumiere, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.242","548","tcp","afp","open","AFP name: sauron, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.249","548","tcp","afp","open","AFP name: nikon, Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03"
"10.0.0.229","587","tcp","smtp","open","Barracuda Networks Spam Firewall smtpd"
"10.0.0.230","587","tcp","smtp","open",""
"10.0.0.166","593","tcp","ncacn_http","open","Microsoft Windows RPC over HTTP 1.0"
"10.0.0.191","593","tcp","ncacn_http","open","Microsoft Windows RPC over HTTP 1.0"
"10.0.0.169","625","tcp","apple-xsrvr-admin","open",""
"10.0.0.206","625","tcp","apple-xsrvr-admin","open",""
"10.0.0.216","625","tcp","apple-xsrvr-admin","open",""
"10.0.0.232","625","tcp","apple-xsrvr-admin","open",""
"10.0.0.233","625","tcp","apple-xsrvr-admin","open",""
"10.0.0.239","625","tcp","apple-xsrvr-admin","open",""
"10.0.0.163","631","tcp","ipp","open","CUPS 1.6"
"10.0.0.206","631","tcp","ipp","open","CUPS 1.6"
"10.0.0.166","636","tcp","ldap","open",""
